id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830944,13 No Rail Gate Road,1830471,7,FALSE,now(),now(),TRUE,148749
1830945,Kala Amer Tal,1830471,7,FALSE,now(),now(),TRUE,92148
1830946,Mondoler Hat,1830471,7,FALSE,now(),now(),TRUE,91810
1830947,Murir Mill,1830471,7,FALSE,now(),now(),TRUE,92150
1830948,Murir Mill,1830471,7,FALSE,now(),now(),TRUE,92149
1830949,13 No Rail Gate,1830471,7,FALSE,now(),now(),TRUE,148750
1830950,Kala Amer Tal,1830471,7,FALSE,now(),now(),TRUE,92147
1830951,Boirampur Hat,1830471,7,FALSE,now(),now(),TRUE,92138
1830952,Mondoler Hat,1830471,7,FALSE,now(),now(),TRUE,91811
1830953,Sonali Bank More,1830472,7,FALSE,now(),now(),TRUE,70557
1830954,Badargonj Railstation (Platform),1830472,7,FALSE,now(),now(),TRUE,92254
1830955,Badargonj Railstation (Bahir),1830472,7,FALSE,now(),now(),TRUE,92251
1830956,Mastarpara,1830472,7,FALSE,now(),now(),TRUE,92244
1830957,Badargonj Railstation,1830472,7,FALSE,now(),now(),TRUE,92256
1830958,Badargonj Railstation (Platform),1830472,7,FALSE,now(),now(),TRUE,92253
1830959,Bow Bazar,1830472,7,FALSE,now(),now(),TRUE,17764
1830960,Badargonj Railstation (Platform),1830472,7,FALSE,now(),now(),TRUE,92252
1830961,Badorgonj Bus Strand,1830472,7,FALSE,now(),now(),TRUE,92136
1830962,Sardarpara,1830472,7,FALSE,now(),now(),TRUE,148764
1830963,Jamubari Sodarpara,1830472,7,FALSE,now(),now(),TRUE,92260
1830964,Bichi Bari,1830472,7,FALSE,now(),now(),TRUE,92258
1830965,Badargonj Railstation,1830472,7,FALSE,now(),now(),TRUE,92257
1830966,Badargonj Railstation (Platform),1830472,7,FALSE,now(),now(),TRUE,92255
1830967,Santinagor,1830473,7,FALSE,now(),now(),TRUE,92159
